TITLE,LANGUAGE,GENRES,YEAR,RATING
3 Idiots,Hindi,"Comedy, Drama",2009,8.4
Dangal,Hindi,"Biography, Drama",2016,8.4
Gully Boy,Hindi,"Drama, Musical",2019,8
Vikram,Tamil,"Action, Thriller",2022,8.3
Soorarai Pottru,Tamil,"Drama, Biography",2020,8.7
RRR,Telugu,"Action, Drama",2022,8.4
Baahubali 2: The Conclusion,Telugu,"Action, Fantasy",2017,8.2
Drishyam 2,Malayalam,"Thriller, Drama",2021,8.5
Bangalore Days,Malayalam,"Drama, Romance",2014,8.3
KGF Chapter 2,Kannada,"Action, Drama",2022,8.2
Lucia,Kannada,"Drama, Sci-Fi",2013,8.3
Chokher Bali,Bengali,"Drama, Romance",2003,7.4
Sairat,Marathi,"Romance, Drama",2016,8.3
Qismat,Punjabi,"Romance, Drama",2018,8.1
Jab We Met,Hindi,"Romance, Drama",2007,7.9
Dilwale Dulhania Le Jayenge,Hindi,"Romance, Drama",1995,8
Veer-Zaara,Hindi,"Romance, Drama",2004,7.8
Tare Jameen Par,Hindi,Drama,2007,8.5
Chhichhore,Hindi,Drama,2019,8.5
Chennai Express,Hindi,"Romance, Comedy",2013,8.4
The Avengers,English,"Sci-Fi, Fantasy",2012,8.6
Avengers: Age of Ultron,English,"Sci-Fi, Fantasy",2015,8.6
Avengers: Infinity War,English,"Sci-Fi, Fantasy",2018,8.6
Avengers: Endgame,English,"Sci-Fi, Fantasy",2019,8.6
Avengers: Doomsday,English,"Sci-Fi, Fantasy",2026,8.6
Mission: Impossible,English,"Action, Adventure",1996,8.4
Mission: Impossible 2,English,"Action, Adventure",2000,8.4
Mission: Impossible 3,English,"Action, Adventure",2006,8.4
Mission: Impossible 4 - Ghost Protocol,English,"Action, Adventure",2011,8.4
Mission: Impossible - Rogue Nation,English,"Action, Adventure",2015,8.4
Mission: Impossible - Fallout,English,"Action, Adventure",2018,8.4
Mission: Impossible - Dead Reckoning,English,"Action, Adventure",2023,8.4
Mission: Impossible - Final Reckoning,English,"Action, Adventure",2025,8.4
Transformers,English,"Sci-Fi, Action",2007,8.4
Transformers: Revenge of the Fallen,English,"Sci-Fi, Action",2009,8.4
Transformers: Dark of the Moon,English,"Sci-Fi, Action",2011,8.4
Transformers: Age of Extinction,English,"Sci-Fi, Action",2014,8.4
Transformers: The Last Knight,English,"Sci-Fi, Action",2017,8.4
Bumblebee,English,"Sci-Fi, Action",2018,8.4
Transformers: Rise of the Beasts,English,"Sci-Fi, Action",2023,8.4
Final Destination,English,"Fantasy, Horror",2000,8.7
Final Destination 2,English,"Fantasy, Horror",2003,8.7
Final Destination 3,English,"Fantasy, Horror",2006,8.7
Final Destination 4,English,"Fantasy, Horror",2009,8.7
Final Destination 5,English,"Fantasy, Horror",2011,8.7
Final Destination: Bloodlines,English,"Fantasy, Horror",2025,8.7
Srimanthudu,Telugu,Drama,2015,8.2
HIT 3,Telugu,Action,2025,8.7
OG,Telugu,Action,2026,8.3
